emp_no,first_name,last_name,gender,salary,to_date
15889,Sasan,Azumi,M,63393,9999-01-01
15892,Lunjin,Pettis,F,60367,9999-01-01
15708,Reuven,Kushnir,F,85063,9999-01-01
15715,Insup,Ibel,F,40000,9999-01-01
15934,Kensyu,Shinomoto,F,50454,9999-01-01
15942,Murthy,Rosca,M,50486,9999-01-01
15948,Karoline,Versino,F,40000,9999-01-01
16126,Tse,Crabtree,M,68863,9999-01-01
15977,King,Ballarin,M,44282,9999-01-01
16019,Chaoyi,Heystek,F,40000,9999-01-01
16130,Kerryn,Belinskaya,M,40000,9999-01-01
16229,Ronnie,Lanzelotte,F,40000,9999-01-01
16324,Billie,Bazzichi,M,40000,9999-01-01
16341,Boutros,Fendler,F,40000,9999-01-01
16380,Zhilian,Chleq,M,42820,9999-01-01
16382,Chaoyi,Talmon,M,66986,9999-01-01
16398,Limsoon,Krzyzanowski,M,71254,9999-01-01
16404,Rafols,Rabehasaina,M,45689,9999-01-01
16425,Idoia,Beerel,M,53045,9999-01-01
16446,Jouko,Chinin,M,94600,9999-01-01
16471,Bogdan,Birta,M,44976,9999-01-01
16230,Ung,Babu,M,40000,9999-01-01
16479,Jixiang,Eiter,M,62446,9999-01-01
16486,Sanjay,Perin,M,57496,9999-01-01
16487,Arunas,Yemenis,M,73302,9999-01-01
16490,Muzhong,Thiria,M,85462,9999-01-01
16233,Sushant,Baba,M,54684,9999-01-01
16504,Mong,Cromarty,F,40000,9999-01-01
16862,JiYoung,Eppinger,M,40000,9999-01-01
16607,Vishwani,Honglei,F,54558,9999-01-01
16657,Yongdong,Heyers,M,63463,9999-01-01
16672,Georgi,Peris,M,55265,9999-01-01
16674,Duke,Takanami,M,40000,9999-01-01
16679,Domenick,Cummings,F,40000,9999-01-01
16875,Nikolaos,Radhakrishnan,M,40000,9999-01-01
16683,Hatem,Ghandeharizadeh,F,60120,9999-01-01
16723,Mohd,Randt,F,56932,9999-01-01
16955,Sangeeta,Marrakchi,M,74715,9999-01-01
16808,Kiyokazu,Katiyar,M,87215,9999-01-01
16969,Sanjit,Braccini,F,49377,9999-01-01
17018,Berhard,Tasistro,F,40000,9999-01-01
17055,Marin,Wixon,M,46654,9999-01-01
17098,Xuedong,Gelosh,F,40000,9999-01-01
17101,Sandeepan,Compeau,M,40173,9999-01-01
17220,Lorien,Panwar,F,45404,9999-01-01
17143,Ziyad,Munke,M,40000,9999-01-01
17146,Aemilian,Barbanera,F,65674,9999-01-01
17163,Yurii,Papsdorf,M,47086,9999-01-01
17277,Arnd,Hopewell,M,40000,9999-01-01
17294,Shrikanth,Pietrzykowski,M,43785,9999-01-01
17505,Gunilla,Moffat,F,63455,9999-01-01
17539,Cathie,Uhrik,F,60576,9999-01-01
17336,Shigenori,Chaudhuri,M,71761,9999-01-01
17584,Emdad,Coorg,F,40000,9999-01-01
17387,Shir,Serra,F,49554,9999-01-01
17704,Vatsa,Broomell,F,40000,9999-01-01
17397,Kenroku,Hardjono,F,40000,9999-01-01
17986,Oguz,Angelopoulos,M,77587,9999-01-01
17869,Xiaocheng,Prochazka,F,40000,9999-01-01
17891,Isaac,Luiz,M,44505,9999-01-01
17925,Adamantios,Baezner,F,47958,9999-01-01
18130,Claudi,Cairo,M,40000,9999-01-01
18251,Alair,Panangaden,M,58297,9999-01-01
18261,Shridhar,Baak,M,40000,9999-01-01
18274,Yefim,Karnin,F,63753,9999-01-01
18310,Ioana,Dalton,F,41095,9999-01-01
18322,Tonia,Lueh,M,40000,9999-01-01
18511,Pascal,Marzano,M,40000,9999-01-01
18375,Gian,Debuse,M,41562,9999-01-01
18382,Remko,Mattern,F,57540,9999-01-01
18547,Gladys,Sankaranarayanan,M,40000,9999-01-01
18448,Rosine,Bazelow,M,44353,9999-01-01
18454,Eric,Anido,M,64815,9999-01-01
18459,Shuzo,Kavanagh,F,40000,9999-01-01
18478,Mitsuyuki,Stranks,M,40000,9999-01-01
18580,Mabo,Bamford,M,40000,9999-01-01
18706,Debaprosad,Schicker,M,47897,9999-01-01
18663,Rafols,Sridhar,F,62505,9999-01-01
18725,Cullen,Marchegay,F,48904,9999-01-01
18770,Fei,Yurek,M,55686,9999-01-01
18786,Guozhong,Veevers,M,40000,9999-01-01
18806,Akhilish,Petereit,M,59955,9999-01-01
18664,Itzchak,Akaboshi,F,55929,9999-01-01
18833,Roded,Majewski,M,46611,9999-01-01
18835,Uwe,Lieblein,M,40000,9999-01-01
18671,Shan,Nastansky,M,55188,9999-01-01
18673,Ohad,Orlowski,M,40000,9999-01-01
19089,Badri,Ellozy,M,64741,9999-01-01
18933,Barun,Panienski,F,47862,9999-01-01
18980,Weiye,Kawashimo,F,56699,9999-01-01
18994,Leszek,Mitsuhashi,M,69135,9999-01-01
19027,Ferdinand,Nanard,M,46182,9999-01-01
19109,Jenwei,Denis,M,46911,9999-01-01
19259,Anoosh,Pelc,F,47060,9999-01-01
19147,Chaitali,Bennis,M,76197,9999-01-01
19268,Adit,Papastamatiou,M,40000,9999-01-01
19329,Alair,Marletta,F,48046,9999-01-01
19335,Susanta,Khalid,F,40000,9999-01-01
19154,Inderjeet,Denna,M,40000,9999-01-01
19160,Tetsurou,Jervis,F,72108,9999-01-01
19397,Arnd,Diderrich,F,46492,9999-01-01
19422,Florian,Budinsky,F,48435,9999-01-01
19425,Xuejia,Pettey,M,53627,9999-01-01
19453,Baoqiu,Buescher,M,40000,9999-01-01
19454,Taisook,Hutter,F,40000,9999-01-01
19488,Maris,Perly,M,45504,9999-01-01
19493,Caolyn,Tramer,F,59120,9999-01-01
19565,Zito,Riesenhuber,M,40000,9999-01-01
19583,Edwin,Veccia,M,64800,9999-01-01
19602,Sandeepan,Olivero,M,51525,9999-01-01
19637,Dipayan,Papastamatiou,M,45831,9999-01-01
19644,Jackson,Isaac,M,53423,9999-01-01
19162,Chinho,Fadgyas,M,40000,9999-01-01
19667,Munenori,Matzel,F,52876,9999-01-01
19209,Berhard,Encarnacion,M,40000,9999-01-01
19678,Xiping,Plotkin,M,40000,9999-01-01
19720,Kwangyoen,Maksimenko,M,40000,9999-01-01
19723,Xuejun,Magalhaes,F,54056,9999-01-01
19737,Harngdar,Cools,F,86017,9999-01-01
19738,Giri,Sury,M,74083,9999-01-01
19766,Saeed,Munke,F,52681,9999-01-01
19777,Halsur,Ferretti,M,63089,9999-01-01
19244,Guenter,Vitiello,M,51173,9999-01-01
19804,Tamiya,Benzmuller,M,53435,9999-01-01
20042,Margareta,Munck,F,75326,9999-01-01
20063,Guttorm,Carrere,F,52629,9999-01-01
20189,Mark,Nanard,M,40797,9999-01-01
20065,Mana,Onuegbe,F,51604,9999-01-01
20245,Halsur,Fujisawa,F,53786,9999-01-01
20251,Cristinel,Unno,M,40000,9999-01-01
20259,Yannik,Bratten,F,48386,9999-01-01
20068,Masali,Rouquie,M,40000,9999-01-01
20265,Amalendu,Willoner,M,53518,9999-01-01
20284,Monique,Parascandalo,F,40000,9999-01-01
20159,Isamu,Valiente,F,41110,9999-01-01
20346,Jeong,Antonakopoulos,M,40000,9999-01-01
20367,Bernt,Takanami,M,40000,9999-01-01
20625,Uno,Cusworth,F,40000,9999-01-01
20454,Nidapan,Gunderson,M,40000,9999-01-01
20755,Jungsoon,Szilard,F,40000,9999-01-01
20757,Ingemar,Taubman,M,40000,9999-01-01
20708,Aemilian,Arlazarov,F,63353,9999-01-01
20836,Jingling,Alameldin,M,84293,9999-01-01
20857,Jinxi,Werthner,M,40000,9999-01-01
20860,Szabolcs,Michaels,F,40000,9999-01-01
21127,Ziyad,Coorg,M,65549,9999-01-01
20929,Along,Hebden,M,40000,9999-01-01
20964,Clyde,Erez,F,85572,9999-01-01
20974,Hisao,Yavatkar,M,80291,9999-01-01
20979,Pradeep,Kumaresan,M,86006,9999-01-01
21165,Mingdong,Pfau,M,57958,9999-01-01
21019,Oksana,Brodie,F,60171,9999-01-01
21054,Saeko,Sichman,M,52658,9999-01-01
21078,Shaw,Bolotov,F,54258,9999-01-01
21092,Chikara,Montresor,F,40000,9999-01-01
21214,Weiru,Angelov,F,56646,9999-01-01
21373,Gonzalo,Awdeh,F,56985,9999-01-01
21255,Jaewon,Baba,M,40000,9999-01-01
21391,Zijian,Pagter,M,58700,9999-01-01
21421,Avishai,Yoshizawa,F,58531,9999-01-01
21663,Eberhardt,Serra,F,40000,9999-01-01
21527,DeForest,Yurov,F,40000,9999-01-01
21566,Angel,Demos,F,61752,9999-01-01
21588,Licheng,Masamoto,M,55000,9999-01-01
21666,Remzi,Kroon,M,68269,9999-01-01
21612,Martial,Bardell,M,82560,9999-01-01
21686,Kinh,Jansch,M,55890,9999-01-01
21646,Gila,Guardalben,M,41370,9999-01-01
21648,Mayuko,Fandrianto,F,42629,9999-01-01
21693,Palash,Schurmann,M,87515,9999-01-01
21848,Atreyi,Zhang,M,42767,9999-01-01
21751,Uinam,Savasere,M,40000,9999-01-01
21851,Falguni,Budinsky,F,68104,9999-01-01
21783,Domenick,Qiwen,F,64772,9999-01-01
22008,Karlis,Ferretti,M,52459,9999-01-01
22255,Kristian,Merel,M,43442,9999-01-01
22100,Vishwani,Spataro,M,85569,9999-01-01
22326,Mani,Skafidas,M,74850,9999-01-01
22405,Gritta,Parveen,F,56020,9999-01-01
22424,Krister,Engelmann,M,47921,9999-01-01
22437,Xiaoqiu,Orsini,M,41444,9999-01-01
22482,Perla,Parascandalo,F,40000,9999-01-01
22496,Yongqiao,Yavatkar,M,44922,9999-01-01
22337,Leszek,Picci,M,40000,9999-01-01
22509,Zejun,Shumilov,M,61470,9999-01-01
22367,Terresa,Barinka,M,40329,9999-01-01
22370,Aloys,Oxenboll,M,76113,9999-01-01
22593,Danae,Jeansoulin,M,52423,9999-01-01
22381,Uma,Openshaw,F,77651,9999-01-01
22609,Zvonko,Baalen,F,66371,9999-01-01
22772,Sandeepan,McClurg,F,46367,9999-01-01
22728,Makato,Codenie,M,99580,9999-01-01
22730,Premal,Basart,M,51123,9999-01-01
22735,Paddy,Diderrich,F,42702,9999-01-01
22749,Snehasis,Famili,M,53701,9999-01-01
22753,Yoshinari,Khalil,F,40000,9999-01-01
22783,Takahiro,Beerel,M,83582,9999-01-01
22758,Mabry,Rijckaert,F,59665,9999-01-01
22812,Weiru,Kemmerer,F,53399,9999-01-01
22961,Hirochika,Masamoto,M,44463,9999-01-01
23007,Hyuckchul,Spell,F,63693,9999-01-01
23011,Suzette,Ferretti,M,50445,9999-01-01
22838,Brendon,Markovitch,F,40000,9999-01-01
23068,Eldridge,Brlek,M,40000,9999-01-01
23086,Nathan,Lemarechal,M,40000,9999-01-01
23092,Aris,Brookman,M,40000,9999-01-01
23119,Yaghout,Byoun,F,52289,9999-01-01
22854,Trygve,Koblitz,M,41649,9999-01-01
23136,Narain,Skogmar,M,56024,9999-01-01
23138,Pascal,Kaelbling,M,40000,9999-01-01
23151,Ortrun,Lunt,M,91783,9999-01-01
22886,Gudjon,Templeman,F,40000,9999-01-01
23196,Sahrah,Cheshire,M,65710,9999-01-01
23197,Marjo,Ducloy,M,40000,9999-01-01
22894,Muzhong,Casley,M,76090,9999-01-01
23246,Muneo,Bhattacharjee,M,61942,9999-01-01
22904,Irene,Azulay,F,40000,9999-01-01
23323,Siamak,Alvarado,F,48952,9999-01-01
23330,Aloke,Cooley,M,61255,9999-01-01
22923,Kristof,Laventhal,F,43991,9999-01-01
23342,Xinglin,Berendt,M,40000,9999-01-01
23347,Kwun,Rosaz,F,71668,9999-01-01
23363,Jacqueline,Zeleznik,M,47315,9999-01-01
22924,Ziyad,Leslie,F,53978,9999-01-01
22928,Sanjeeva,Angot,F,40000,9999-01-01
23421,Hironoby,Denti,M,42253,9999-01-01
22935,Toshimo,Foong,M,40000,9999-01-01
23466,Chikara,Anandan,F,56208,9999-01-01
22940,Shih,Isaac,M,40000,9999-01-01
23753,Karsten,Isaac,M,64455,9999-01-01
23506,Shiv,Luck,F,40000,9999-01-01
23521,Goh,Pappas,F,40000,9999-01-01
23536,Nagui,Vural,F,40000,9999-01-01
23561,Jingling,Zizka,M,48337,9999-01-01
23592,Marek,Templeman,M,68278,9999-01-01
23642,Kwangjo,Pusterhofer,M,48854,9999-01-01
23648,Jinxi,Luiz,M,40000,9999-01-01
23659,Gina,Verhoeff,M,40000,9999-01-01
23676,Sham,Openshaw,M,90184,9999-01-01
23907,Isamu,Dahlbom,M,68827,9999-01-01
23938,Nahum,Facello,M,49319,9999-01-01
24056,Gladys,Shrader,M,91264,9999-01-01
24118,Elliott,Monarch,F,77728,9999-01-01
24126,Candida,Wallrath,F,40599,9999-01-01
24132,Otilia,Puoti,F,40000,9999-01-01
24136,Isamu,Henders,F,57963,9999-01-01
24182,Teunis,Antonisse,M,40000,9999-01-01
24183,Muneo,Rousseau,F,48461,9999-01-01
24225,Shugo,Eiter,M,98584,9999-01-01
24251,Moto,Mondadori,F,56717,9999-01-01
24269,Prodip,Peron,M,51386,9999-01-01
24284,Huan,Tchuente,F,73889,9999-01-01
24363,Bowen,Biran,M,43392,9999-01-01
24459,Masako,Puoti,F,41215,9999-01-01
24460,Yinghua,Lanphier,M,69794,9999-01-01
24503,Anyuan,Kusakari,M,40000,9999-01-01
24526,Ayonca,Sudbeck,M,40981,9999-01-01
24534,Berni,Morton,F,40000,9999-01-01
23757,Yaghout,Ozery,M,47056,9999-01-01
24617,Ramachenga,Cullers,M,40000,9999-01-01
23777,Juichirou,Kilgore,M,40000,9999-01-01
24646,Patricia,Takkinen,M,50383,9999-01-01
24666,Leif,Birsak,F,67836,9999-01-01
24690,Eldridge,Ghazalie,F,63340,9999-01-01
23835,Yoshinari,Hennings,F,40000,9999-01-01
24775,Ziyad,Spelt,M,40000,9999-01-01
24793,Kristen,Brizzi,M,66663,9999-01-01
23840,Thanasis,Polupanov,M,43469,9999-01-01
24855,Dung,Lund,M,40000,9999-01-01
25022,Zengping,Hiroyama,M,62723,9999-01-01
24915,Morris,Liedekerke,F,59866,9999-01-01
24932,Charmane,Erbe,F,73521,9999-01-01
24934,Carrsten,Bruckman,M,40000,9999-01-01
24963,Cathie,Redmiles,M,47590,9999-01-01
25070,Morris,Fortenbacher,M,51459,9999-01-01
25254,Matt,Peek,M,61383,9999-01-01
25269,Kazuhiko,Hainaut,M,62306,9999-01-01
25084,Alenka,Jullig,M,61168,9999-01-01
25339,Brewster,Bale,M,40000,9999-01-01
25108,Wanqing,Eterovic,F,53886,9999-01-01
25362,Falguni,Ponthieu,M,52215,9999-01-01
25393,Claudi,Frijda,F,65677,9999-01-01
25562,Bernardo,Menhardt,F,62196,9999-01-01
25475,Flemming,Fujisaki,M,40000,9999-01-01
25730,Shao,Monarch,M,67870,9999-01-01
25656,Eben,Narwekar,F,40000,9999-01-01
25777,Leucio,Famili,F,44614,9999-01-01
25790,Suebskul,Plump,M,59606,9999-01-01
25794,Ymte,Prenel,F,64431,9999-01-01
25839,Ewing,Simkin,F,40000,9999-01-01
25866,Tadanori,Nannarelli,M,58319,9999-01-01
26102,Mechthild,Eldridge,M,62902,9999-01-01
25952,Zito,Kalloufi,M,64988,9999-01-01
25993,Kazuhiro,Luft,M,49060,9999-01-01
26005,Ohad,Vidya,M,40000,9999-01-01
26121,Ipke,Krichel,M,40000,9999-01-01
26283,Abdulla,Feldmann,M,40000,9999-01-01
26126,Gal,Candan,M,62077,9999-01-01
26172,Sedat,Bahr,M,51715,9999-01-01
26344,Duke,Sabnani,M,61884,9999-01-01
26385,Brigham,Peral,F,66888,9999-01-01
26391,Baoqiu,Kermarrec,M,59753,9999-01-01
26396,Jinxi,Bresenham,F,53684,9999-01-01
26272,Zorica,Marakhovsky,F,40000,9999-01-01
26486,Taegyun,Simkin,M,49938,9999-01-01
26598,Falguni,Birsak,M,40000,9999-01-01
26599,Katsuo,Armand,M,40000,9999-01-01
26661,Kazunori,Borstler,F,45294,9999-01-01
26639,Guadalupe,Weiland,F,67344,9999-01-01
26714,Sadun,Pelc,M,40000,9999-01-01
26869,Jasminko,Vecchio,F,64525,9999-01-01
26892,Brigham,Luan,F,41272,9999-01-01
26902,Reinhold,Welham,M,71381,9999-01-01
26903,Xumin,Tischendorf,M,40000,9999-01-01
26733,Kauko,Yetto,F,40000,9999-01-01
27008,Turgut,Gluchowski,F,62222,9999-01-01
26750,Baziley,Denis,M,70070,9999-01-01
26828,Maha,Haddadi,M,78666,9999-01-01
27047,Torsten,Hartvigsen,F,58869,9999-01-01
27130,Kazuhira,Rathonyi,M,40000,9999-01-01
26831,Yucel,Pagter,F,59906,9999-01-01
27221,Syozo,Rosar,F,86287,9999-01-01
27223,Noritoshi,Delgrossi,M,65810,9999-01-01
27396,Brendon,Zykh,M,55838,9999-01-01
27241,Mayuri,Erez,F,40000,9999-01-01
27272,Kwan,Genin,M,83908,9999-01-01
27273,Alassane,Jeong,F,40000,9999-01-01
27281,Leaf,Bahi,F,40026,9999-01-01
27295,Marc,Orlowska,M,62985,9999-01-01
27412,Shigeaki,Boguraev,M,61079,9999-01-01
27357,Tsvetan,Schmiedel,F,50247,9999-01-01
27367,Mokhtar,Junet,M,43757,9999-01-01
27368,Dipayan,Keustermans,F,67825,9999-01-01
27373,Jiafu,Varman,F,47814,9999-01-01
27377,Mara,Gils,F,84481,9999-01-01
27460,Chikara,Munck,M,75794,9999-01-01
27381,Eirik,Ambroszkiewicz,M,42709,9999-01-01
27580,Mona,Haumacher,M,41048,9999-01-01
27496,Marke,Angelov,M,40000,9999-01-01
27604,Yuguang,Sudbeck,F,65633,9999-01-01
27626,Vishu,Flanders,M,55682,9999-01-01
27687,Ronghao,Baumann,M,59878,9999-01-01
27566,Annemarie,Kobuchi,F,43878,9999-01-01
27708,Dayanand,Gill,F,40000,9999-01-01
27730,Uinam,Perng,F,58624,9999-01-01
27732,Girolamo,Facello,M,48552,9999-01-01
27772,Shahaf,Salvesen,F,78337,9999-01-01
27787,Xinglin,Bondorf,M,40000,9999-01-01
28079,Rimon,Salvesen,M,45156,9999-01-01
27848,Tooru,Bednarek,F,57650,9999-01-01
27854,Yurii,Unni,F,40000,9999-01-01
27884,Kristina,Zucker,M,61284,9999-01-01
27888,Berna,Birta,M,44357,9999-01-01
27899,Kristen,Hebert,F,82598,9999-01-01
27905,Monique,Barinka,F,40000,9999-01-01
27910,Gil,Haumacher,F,45887,9999-01-01
28171,Filipe,Setlzner,F,40000,9999-01-01
28082,Michaela,Sudbeck,M,48193,9999-01-01
28242,Thodoros,Vasanthakumar,M,86610,9999-01-01
28501,Nagui,Viele,M,40000,9999-01-01
28315,Hideo,Servi,F,44797,9999-01-01
28318,Teunis,Whitcomb,M,40000,9999-01-01
28322,Premal,Millington,F,51484,9999-01-01
28504,Boalin,Peng,F,68605,9999-01-01
28511,Shugo,Pero,F,40000,9999-01-01
28487,Ziva,Alblas,M,71338,9999-01-01
28490,Marsal,Jervis,F,40932,9999-01-01
28525,Dannz,Highland,M,68550,9999-01-01
28703,Tremaine,Remmele,M,40000,9999-01-01
28726,Marie,Veldwijk,F,54207,9999-01-01
28734,Arvind,Heydon,F,83827,9999-01-01
